GroupID,Segment,LSM,WC.Total
1.0,1,0.52,42
2.0,1,0.45,63
4.0,1,0.22,26
3.0,1,0.71,35
5.0,1,0.61,47
6.0,1,0.54,26
7.0,1,0.21,20
8.0,1,0.68,78
11.0,1,0.71,66
10.0,1,0.49,27
9.0,1,0.44,37
12.0,1,0.19,46
13.0,1,0.66,49
14.0,1,0.66,31
15.0,1,0.57,44
16.0,1,0.69,58
17.0,1,0.39,59
19.0,1,0.81,46
21.0,1,0.83,43
23.0,1,0.30,59
25.0,1,0.12,37
22.0,1,0.60,48
24.0,1,0.09,23
26.0,1,0.17,29
27.0,1,0.32,65
28.0,1,0.35,32
31.0,1,0.57,41
32.0,1,0.55,34
36.0,1,0.47,43
40.0,1,0.72,46
37.0,1,0.24,62
38.0,1,0.53,34
39.0,1,0.34,25
41.0,1,0.33,31
42.0,1,0.31,54
44.0,1,0.13,43
45.0,1,0.63,50
49.0,1,0.43,47
50.0,1,0.75,32
51.0,1,0.34,34
52.0,1,0.36,35
53.0,1,0.61,38
55.0,1,0.25,28
56.0,1,0.38,14
57.0,1,0.76,92
58.0,1,0.63,43
59.0,1,0.13,39
60.0,1,0.39,26
64.0,1,0.14,30
62.0,1,0.52,26
63.0,1,0.51,55
61.0,1,0.00,43
65.0,1,0.35,65
66.0,1,0.73,91
67.0,1,0.51,54
69.0,1,0.31,28
70.0,1,0.32,33
71.0,1,0.68,122
73.0,1,0.20,42
72.0,1,0.19,38
74.0,1,0.58,75
75.0,1,0.41,45
80.0,1,0.59,62
81.0,1
83.0,1,0.41,36
84.0,1,0.37,21
85.0,1,0.65,56
86.0,1,0.00,32
87.0,1,0.22,50
88.0,1,0.13,25
89.0,1,0.30,27
90.0,1,0.38,62
92.0,1,0.42,40
91.0,1,0.49,30
94.0,1,0.37,33
93.0,1,0.63,6
95.0,1,0.43,32
96.0,1,0.57,73
98.0,1,0.46,24
100.0,1,0.31,21
99.0,1,0.49,64
101.0,1,0.45,42
102.0,1,0.62,74
104.0,1,0.48,44
103.0,1,0.48,41
105.0,1,0.56,62
106.0,1,0.30,36
107.0,1,0.67,86
108.0,1,0.13,30
109.0,1,0.08,22
110.0,1,0.60,63
111.0,1,0.70,56
112.0,1,0.69,72
113.0,1,0.64,63
114.0,1,0.61,102
115.0,1,0.62,83
116.0,1,0.20,35
117.0,1,0.80,96
118.0,1,0.88,81
120.0,1,0.10,54
121.0,1,0.38,42
122.0,1,0.61,67
123.0,1,0.48,49
124.0,1,0.41,27
125.0,1,0.64,78
127.0,1,0.63,4
126.0,1,0.54,32
129.0,1,0.01,50
130.0,1,0.64,24
131.0,1,0.54,70
132.0,1,0.62,56
133.0,1,0.32,56
135.0,1,0.25,33
136.0,1,0.00,30
137.0,1,0.20,37
140.0,1,0.53,46
141.0,1,0.21,54
144.0,1,0.69,49
145.0,1,0.13,29
146.0,1,0.46,64
147.0,1,0.60,35
148.0,1,0.57,56
149.0,1,0.38,46
150.0,1,0.33,38
151.0,1,0.75,36
152.0,1,0.57,80
153.0,1,0.38,13
156.0,1,0.64,22
158.0,1,0.56,41
161.0,1,0.24,37
162.0,1,0.64,47
167.0,1,0.50,10
168.0,1,0.13,48
170.0,1,0.63,63
172.0,1,0.25,61
175.0,1,0.20,32
176.0,1,0.63,53
177.0,1,0.25,28
178.0,1,0.31,40
179.0,1,0.09,39
181.0,1,0.65,96
182.0,1,0.59,41
183.0,1,0.19,39
186.0,1,0.63,29
188.0,1,0.45,28
189.0,1
190.0,1,0.56,30
191.0,1,0.25,44
192.0,1,0.51,41
