GroupID,Segment,LSM,WC.Total
1.0,1,0.34,24
2.0,1,0.58,79
4.0,1,0.93,37
3.0,1,0.74,81
5.0,1,0.29,24
6.0,1,0.61,71
7.0,1,0.57,40
8.0,1,0.65,34
11.0,1,0.08,61
10.0,1,0.55,33
9.0,1,0.60,53
12.0,1,0.21,48
13.0,1,0.49,41
14.0,1,0.42,67
15.0,1,0.47,30
16.0,1,0.28,48
17.0,1,0.55,22
19.0,1,0.52,42
21.0,1,0.31,32
23.0,1,0.62,56
24.0,1,0.61,11
25.0,1,0.34,34
22.0,1,0.10,58
26.0,1,0.31,40
27.0,1,0.62,75
28.0,1,0.58,23
31.0,1,0.54,50
32.0,1,0.66,73
36.0,1,0.13,30
40.0,1,0.29,48
38.0,1,0.57,40
39.0,1,0.59,40
37.0,1,0.19,59
41.0,1,0.65,41
42.0,1,0.49,59
45.0,1,0.00,52
44.0,1,0.19,54
49.0,1,0.75,51
50.0,1,0.50,50
51.0,1,0.41,34
52.0,1,0.13,27
53.0,1,0.53,46
55.0,1,0.41,60
56.0,1,0.83,88
57.0,1,0.74,145
58.0,1,0.73,49
59.0,1,0.00,51
60.0,1,0.47,45
64.0,1,0.15,48
62.0,1,0.29,23
63.0,1,0.09,62
61.0,1,0.38,21
65.0,1,0.31,59
66.0,1,0.69,76
67.0,1,0.69,115
69.0,1,0.47,40
70.0,1,0.55,60
71.0,1,0.68,73
73.0,1,0.60,45
72.0,1,0.62,43
74.0,1,0.70,61
75.0,1,0.51,44
80.0,1,0.27,37
83.0,1,0.55,46
81.0,1,0.66,40
84.0,1,0.57,14
85.0,1,0.84,65
86.0,1,0.64,47
87.0,1,0.38,16
88.0,1,0.25,16
89.0,1,0.36,57
90.0,1,0.13,41
92.0,1,0.76,72
91.0,1,0.00,23
93.0,1,0.33,62
94.0,1,0.65,56
95.0,1,0.31,43
96.0,1,0.66,32
98.0,1,0.33,21
100.0,1,0.68,52
99.0,1,0.34,44
101.0,1,0.59,70
102.0,1,0.43,65
104.0,1,0.46,40
103.0,1,0.43,35
105.0,1,0.25,47
106.0,1,0.26,29
107.0,1,0.68,79
108.0,1,0.68,68
109.0,1,0.45,29
110.0,1,0.72,79
111.0,1,0.53,56
112.0,1,0.41,29
113.0,1,0.66,62
114.0,1,0.13,31
115.0,1,0.70,100
116.0,1,0.55,15
117.0,1,0.42,89
118.0,1,0.56,82
120.0,1,0.32,47
121.0,1,0.83,78
122.0,1,0.61,70
123.0,1,0.38,46
124.0,1,0.38,32
125.0,1,0.74,101
127.0,1,0.25,24
126.0,1,0.66,44
129.0,1,0.13,46
130.0,1,0.43,27
131.0,1,0.27,60
132.0,1,0.65,63
133.0,1,0.37,42
135.0,1,0.38,8
136.0,1,0.34,26
137.0,1,0.13,30
140.0,1,0.37,23
141.0,1,0.36,61
144.0,1,0.50,27
145.0,1,0.25,18
146.0,1,0.56,43
147.0,1,0.18,20
148.0,1,0.31,63
149.0,1,0.59,74
150.0,1,0.40,19
151.0,1,0.23,39
152.0,1,0.40,51
153.0,1,0.13,20
156.0,1,0.17,22
158.0,1,0.67,27
161.0,1,0.24,22
162.0,1,0.26,50
167.0,1,0.43,33
168.0,1,0.21,48
170.0,1,0.22,47
172.0,1,0.35,51
175.0,1,0.56,74
176.0,1,0.81,109
177.0,1,0.62,26
178.0,1,0.63,47
179.0,1,0.17,58
181.0,1,0.77,55
182.0,1,0.65,55
183.0,1,0.47,21
186.0,1,0.51,28
188.0,1,0.48,10
189.0,1,0.76,34
190.0,1,0.75,35
191.0,1,0.31,56
192.0,1,0.43,17
