GroupID,Segment,LSM,WC.Total
1.0,1,0.48,24
2.0,1,0.48,24
3.0,1,0.48,24
4.0,1,0.48,24
5.0,1,0.48,24
6.0,1,0.48,24
8.0,1,0.48,24
7.0,1,0.48,24
9.0,1,0.48,24
11.0,1,0.48,24
10.0,1,0.48,24
12.0,1,0.29,26
13.0,1,0.48,24
14.0,1,0.48,24
15.0,1,0.48,24
16.0,1,0.48,24
17.0,1,0.48,24
19.0,1,0.48,24
21.0,1,0.48,24
22.0,1,0.48,24
23.0,1,0.48,24
24.0,1,0.48,24
25.0,1,0.48,24
26.0,1,0.48,24
27.0,1,0.32,26
28.0,1,0.48,24
31.0,1,0.48,24
32.0,1,0.48,26
36.0,1,0.48,24
37.0,1,0.48,26
38.0,1,0.48,24
39.0,1,0.48,24
40.0,1,0.48,24
41.0,1,0.48,24
42.0,1,0.48,24
44.0,1,0.48,24
45.0,1,0.48,24
49.0,1,0.48,24
50.0,1,0.48,24
51.0,1,0.59,8
52.0,1,0.48,24
53.0,1,0.48,24
55.0,1,0.48,24
56.0,1,0.48,24
57.0,1,0.48,24
58.0,1,0.48,24
59.0,1,0.48,26
60.0,1,0.48,24
61.0,1,0.48,26
62.0,1,0.48,24
63.0,1,0.48,24
64.0,1,0.48,24
65.0,1,0.48,24
66.0,1,0.48,24
67.0,1,0.48,24
69.0,1,0.48,24
70.0,1,0.48,24
71.0,1,0.48,24
72.0,1,0.48,24
73.0,1,0.48,24
74.0,1,0.48,24
75.0,1,0.48,24
80.0,1,0.48,24
81.0,1,0.48,24
83.0,1,0.48,24
84.0,1,0.48,24
85.0,1,0.48,24
86.0,1,0.48,24
87.0,1,0.48,24
88.0,1,0.48,24
89.0,1,0.48,24
90.0,1,0.48,26
91.0,1,0.48,24
92.0,1,0.48,24
93.0,1,0.48,26
94.0,1,0.48,24
95.0,1,0.48,24
96.0,1,0.48,24
98.0,1,0.48,24
99.0,1,0.48,24
100.0,1,0.48,24
101.0,1,0.48,24
102.0,1,0.48,24
103.0,1,0.48,24
104.0,1,0.48,24
105.0,1,0.48,24
106.0,1,0.48,24
107.0,1,0.48,24
108.0,1,0.48,24
109.0,1,0.48,24
110.0,1,0.48,24
111.0,1,0.48,24
112.0,1,0.48,24
113.0,1,0.48,24
114.0,1,0.48,24
115.0,1,0.48,24
116.0,1,0.48,24
117.0,1,0.48,24
118.0,1,0.48,24
120.0,1,0.48,24
121.0,1,0.48,24
122.0,1,0.48,26
123.0,1,0.48,24
124.0,1,0.48,24
125.0,1,0.48,24
126.0,1,0.48,24
127.0,1,0.48,24
129.0,1,0.48,24
130.0,1,0.48,24
131.0,1,0.48,24
132.0,1,0.48,24
133.0,1,0.48,24
135.0,1,0.48,24
136.0,1,0.48,24
137.0,1,0.48,24
140.0,1,0.48,24
141.0,1,0.48,24
144.0,1,0.48,24
145.0,1,0.48,24
146.0,1,0.48,24
147.0,1,0.48,24
148.0,1,0.48,26
149.0,1,0.48,24
150.0,1,0.48,26
151.0,1,0.48,24
152.0,1,0.48,24
153.0,1,0.48,24
156.0,1,0.48,24
158.0,1,0.48,26
161.0,1,0.48,24
162.0,1,0.48,24
167.0,1,0.48,24
168.0,1,0.48,24
170.0,1,0.48,24
172.0,1,0.48,24
175.0,1,0.48,24
176.0,1,0.48,26
177.0,1,0.48,26
178.0,1,0.48,24
179.0,1,0.48,24
181.0,1,0.48,24
182.0,1,0.48,24
183.0,1,0.48,24
186.0,1,0.48,24
188.0,1,0.48,24
189.0,1,0.48,24
190.0,1,0.48,24
191.0,1,0.48,24
192.0,1,0.48,24
