GroupID,Segment,LSM,WC.Total
1.0,1,0.00,29
2.0,1,0.49,70
3.0,1,0.46,38
4.0,1,0.69,47
5.0,1,0.60,68
6.0,1,0.60,40
8.0,1,0.23,52
7.0,1,0.60,71
10.0,1,0.54,71
11.0,1,0.41,66
9.0,1,0.60,34
12.0,1,0.37,50
13.0,1,0.60,40
14.0,1,0.73,47
15.0,1,0.72,65
16.0,1,0.41,60
17.0,1,0.25,49
19.0,1,0.63,25
21.0,1,0.29,21
23.0,1,0.53,53
22.0,1,0.62,60
24.0,1,0.26,40
25.0,1,0.56,48
26.0,1,0.68,51
27.0,1,0.26,51
28.0,1,0.84,23
31.0,1,0.87,52
32.0,1,0.72,64
36.0,1,0.69,47
37.0,1,0.70,121
38.0,1,0.56,70
40.0,1,0.00,28
39.0,1,0.77,42
41.0,1,0.63,4
42.0,1,0.78,60
45.0,1,0.67,47
44.0,1,0.51,49
49.0,1,0.58,95
50.0,1,0.38,35
51.0,1,0.58,33
52.0,1,0.25,35
53.0,1,0.76,82
55.0,1,0.57,40
56.0,1,0.53,67
57.0,1,0.68,81
58.0,1,0.78,91
59.0,1,0.52,68
60.0,1,0.32,39
61.0,1,0.65,57
63.0,1,0.72,51
62.0,1,0.60,36
64.0,1,0.17,29
65.0,1,0.73,59
66.0,1,0.78,82
67.0,1,0.55,39
69.0,1,0.47,47
71.0,1,0.47,54
70.0,1,0.73,33
73.0,1,0.61,64
72.0,1,0.77,61
74.0,1,0.57,46
75.0,1,0.64,68
80.0,1,0.52,54
81.0,1,0.72,54
83.0,1,0.47,31
84.0,1,0.44,37
85.0,1,0.47,36
86.0,1,0.33,27
87.0,1,0.40,32
88.0,1,0.80,63
89.0,1,0.34,37
90.0,1,0.63,4
91.0,1,0.48,57
92.0,1,0.69,59
93.0,1,0.74,92
94.0,1,0.58,39
95.0,1,0.56,42
96.0,1,0.12,29
98.0,1,0.63,54
99.0,1,0.72,82
100.0,1,0.47,28
101.0,1,0.61,45
102.0,1,0.57,68
103.0,1,0.55,46
104.0,1,0.63,32
105.0,1,0.66,35
106.0,1,0.45,36
107.0,1,0.58,60
108.0,1,0.65,71
109.0,1,0.23,31
110.0,1,0.53,49
111.0,1,0.72,59
112.0,1,0.64,64
113.0,1,0.66,52
114.0,1,0.70,70
115.0,1,0.69,88
116.0,1,0.64,51
117.0,1,0.51,31
118.0,1,0.51,46
120.0,1,0.37,56
121.0,1,0.80,53
122.0,1,0.60,72
123.0,1,0.78,49
124.0,1,0.73,51
125.0,1,0.72,69
126.0,1,0.48,81
127.0,1,0.58,44
129.0,1,0.30,47
130.0,1,0.41,34
131.0,1,0.30,27
132.0,1,0.60,76
133.0,1,0.68,45
135.0,1,0.57,51
136.0,1,0.69,96
137.0,1,0.65,41
140.0,1,0.63,57
141.0,1,0.58,60
144.0,1,0.57,28
145.0,1,0.46,35
146.0,1,0.61,67
147.0,1,0.57,25
148.0,1,0.57,51
149.0,1,0.61,37
150.0,1,0.58,57
151.0,1,0.61,73
152.0,1,0.78,73
153.0,1,0.59,72
156.0,1,0.75,43
158.0,1,0.61,50
161.0,1,0.73,51
162.0,1,0.23,35
167.0,1,0.58,34
168.0,1,0.00,51
170.0,1,0.11,24
172.0,1,0.30,60
175.0,1,0.60,50
176.0,1,0.70,77
177.0,1,0.43,23
178.0,1,0.38,54
179.0,1,0.52,60
181.0,1,0.65,71
182.0,1,0.62,75
183.0,1,0.48,36
186.0,1,0.63,4
188.0,1,0.67,31
189.0,1,0.43,27
190.0,1,0.72,13
191.0,1,0.33,67
192.0,1,0.58,45
