GroupID,Segment,LSM,WC.Total
1.0,1,0.35,25
2.0,1,0.70,47
3.0,1,0.30,44
4.0,1,0.29,34
5.0,1,0.34,34
6.0,1,0.31,30
8.0,1,0.30,36
7.0,1,0.38,32
10.0,1,0.32,34
11.0,1,0.20,28
9.0,1,0.52,37
12.0,1,0.00,28
13.0,1,0.49,34
14.0,1,0.56,34
15.0,1,0.27,40
16.0,1,0.51,46
17.0,1,0.27,31
19.0,1,0.49,44
21.0,1,0.27,30
22.0,1,0.37,27
23.0,1,0.24,24
24.0,1,0.04,23
25.0,1,0.33,36
26.0,1,0.43,33
27.0,1,0.00,29
28.0,1,0.32,25
31.0,1,0.30,35
32.0,1,0.17,32
36.0,1,0.33,26
37.0,1,0.47,43
38.0,1,0.33,30
39.0,1,0.32,30
40.0,1,0.48,24
41.0,1,0.26,29
42.0,1,0.38,43
45.0,1,0.47,33
44.0,1,0.27,27
49.0,1,0.29,28
50.0,1,0.24,32
51.0,1,0.16,28
52.0,1,0.23,22
53.0,1,0.62,36
55.0,1,0.44,45
56.0,1,0.54,50
57.0,1,0.56,86
58.0,1,0.54,76
59.0,1,0.52,26
60.0,1,0.27,27
61.0,1,0.44,41
62.0,1,0.40,33
63.0,1,0.49,36
64.0,1,0.27,25
65.0,1,0.44,64
66.0,1,0.43,42
67.0,1,0.16,30
69.0,1,0.57,47
71.0,1,0.44,35
70.0,1,0.12,30
73.0,1,0.22,24
72.0,1,0.53,38
74.0,1,0.51,43
75.0,1,0.57,52
80.0,1,0.24,29
81.0,1,0.43,20
83.0,1,0.16,29
84.0,1,0.32,29
85.0,1,0.28,28
86.0,1,0.45,45
87.0,1,0.16,31
88.0,1,0.42,29
89.0,1,0.21,29
90.0,1,0.61,64
91.0,1,0.62,52
92.0,1,0.36,47
93.0,1,0.65,58
94.0,1,0.30,32
95.0,1,0.47,34
96.0,1,0.75,38
98.0,1,0.22,26
99.0,1,0.41,45
100.0,1,0.61,33
101.0,1,0.46,41
102.0,1,0.58,38
104.0,1,0.13,20
103.0,1,0.31,29
105.0,1,0.36,45
106.0,1,0.19,25
107.0,1,0.43,35
108.0,1,0.28,31
109.0,1,0.23,33
110.0,1,0.33,35
111.0,1,0.36,31
112.0,1,0.56,60
113.0,1,0.49,54
114.0,1,0.56,47
115.0,1,0.65,43
116.0,1,0.42,41
117.0,1,0.69,37
118.0,1,0.22,23
120.0,1,0.40,43
121.0,1,0.37,44
122.0,1,0.36,30
123.0,1,0.35,31
124.0,1,0.37,28
125.0,1,0.26,26
126.0,1,0.37,33
127.0,1,0.49,38
129.0,1,0.12,27
130.0,1,0.43,29
131.0,1,0.48,54
132.0,1,0.41,44
133.0,1,0.27,28
135.0,1,0.25,24
136.0,1,0.42,42
137.0,1,0.52,56
140.0,1,0.33,24
141.0,1,0.25,30
144.0,1,0.12,30
145.0,1,0.25,26
146.0,1,0.36,42
147.0,1,0.51,32
148.0,1,0.13,25
149.0,1,0.30,32
150.0,1,0.51,41
151.0,1,0.36,28
152.0,1,0.42,32
153.0,1,0.35,27
156.0,1,0.25,27
158.0,1,0.29,28
161.0,1,0.32,29
162.0,1,0.39,36
167.0,1,0.49,32
168.0,1,0.53,35
170.0,1,0.33,28
172.0,1,0.43,33
175.0,1,0.46,42
176.0,1,0.50,86
177.0,1,0.13,23
178.0,1,0.40,26
179.0,1,0.44,34
181.0,1,0.52,45
182.0,1,0.43,50
183.0,1,0.13,24
186.0,1,0.70,32
188.0,1,0.36,33
189.0,1,0.58,37
190.0,1,0.32,26
191.0,1,0.38,36
192.0,1,0.41,32
