GroupID,Segment,LSM,WC.Total
1.0,1,0.47,42
2.0,1,0.34,49
4.0,1,0.22,37
5.0,1,0.29,58
3.0,1,0.70,100
6.0,1,0.38,43
7.0,1,0.72,43
8.0,1,0.60,78
11.0,1,0.06,66
10.0,1,0.55,29
12.0,1,0.39,63
13.0,1,0.45,33
9.0,1,0.30,38
14.0,1,0.21,52
15.0,1,0.82,64
16.0,1,0.54,36
17.0,1,0.13,52
19.0,1,0.60,31
21.0,1,0.32,58
23.0,1,0.25,41
24.0,1,0.38,17
25.0,1,0.31,16
26.0,1,0.00,49
22.0,1,0.38,20
27.0,1,0.50,50
28.0,1,0.25,32
31.0,1,0.73,57
32.0,1,0.00,59
36.0,1,0.13,23
38.0,1,0.68,41
40.0,1,0.18,58
39.0,1,0.13,18
37.0,1,0.15,60
41.0,1,0.25,23
45.0,1,0.25,62
42.0,1,0.13,61
44.0,1,0.40,35
49.0,1,0.55,112
51.0,1,0.16,89
50.0,1,0.82,41
52.0,1,0.13,30
53.0,1,0.18,22
55.0,1,0.43,59
56.0,1,0.26,45
57.0,1,0.72,82
58.0,1,0.13,17
59.0,1,0.32,44
60.0,1,0.08,122
64.0,1,0.38,27
62.0,1,0.71,46
63.0,1,0.54,63
61.0,1,0.70,34
65.0,1,0.43,64
66.0,1,0.44,53
67.0,1,0.79,61
70.0,1,0.52,56
69.0,1,0.55,17
73.0,1,0.36,40
71.0,1,0.77,73
72.0,1,0.17,48
74.0,1,0.57,78
75.0,1,0.59,77
80.0,1,0.23,56
83.0,1,0.59,34
81.0,1,0.95,41
84.0,1,0.59,56
85.0,1,0.61,51
87.0,1,0.28,48
86.0,1,0.32,36
88.0,1,0.38,16
89.0,1,0.44,65
90.0,1,0.57,73
92.0,1,0.13,31
91.0,1,0.34,24
93.0,1,0.26,35
94.0,1,0.64,51
95.0,1,0.48,54
96.0,1,0.74,58
98.0,1,0.15,48
100.0,1,0.25,18
99.0,1,0.47,63
101.0,1,0.52,63
102.0,1,0.55,68
104.0,1,0.17,38
103.0,1,0.04,40
105.0,1,0.59,92
106.0,1,0.33,34
107.0,1,0.60,69
108.0,1,0.41,64
109.0,1,0.56,19
110.0,1,0.70,46
111.0,1,0.71,52
112.0,1,0.52,75
113.0,1,0.72,73
114.0,1,0.13,41
115.0,1,0.38,15
116.0,1,0.33,40
118.0,1,0.38,55
120.0,1,0.46,35
121.0,1,0.58,62
117.0,1,0.63,151
122.0,1,0.73,64
123.0,1,0.43,28
124.0,1,0.38,9
125.0,1,0.50,60
127.0,1,0.24,25
126.0,1,0.36,19
129.0,1,0.67,10
130.0,1,0.43,35
131.0,1,0.36,64
132.0,1,0.51,37
133.0,1,0.63,64
136.0,1,0.58,62
135.0,1,0.57,29
137.0,1,0.51,38
140.0,1,0.72,32
141.0,1,0.60,64
144.0,1,0.56,30
145.0,1,0.21,28
146.0,1,0.53,59
147.0,1,0.33,26
149.0,1,0.24,54
148.0,1,0.34,57
151.0,1,0.60,51
150.0,1,0.44,25
153.0,1,0.45,53
152.0,1,0.63,64
156.0,1,0.60,16
158.0,1,0.25,28
161.0,1,0.53,44
162.0,1,0.58,45
167.0,1,0.52,34
168.0,1,0.43,39
170.0,1,0.21,33
172.0,1,0.05,52
175.0,1,0.13,53
177.0,1,0.35,36
176.0,1,0.51,82
178.0,1,0.39,53
179.0,1,0.23,38
181.0,1,0.47,32
182.0,1,0.59,43
183.0,1,0.83,10
186.0,1,0.50,48
188.0,1,0.78,65
189.0,1,0.53,62
190.0,1,0.23,31
191.0,1,0.36,54
192.0,1,0.33,32
