GroupID,Segment,LSM,WC.Total
1.0,1,0.45,28
2.0,1,0.75,29
4.0,1,0.57,33
5.0,1,0.41,32
6.0,1,0.36,26
3.0,1,0.81,37
7.0,1,0.37,27
8.0,1,0.55,46
11.0,1,0.38,45
10.0,1,0.29,38
12.0,1,0.60,26
13.0,1,0.31,41
9.0,1,0.31,41
14.0,1,0.52,35
16.0,1,0.58,29
15.0,1,0.36,55
17.0,1,0.57,36
19.0,1,0.40,37
21.0,1,0.52,28
23.0,1,0.66,43
25.0,1,0.63,36
26.0,1,0.72,35
24.0,1,0.44,34
22.0,1,0.49,27
27.0,1,0.55,40
28.0,1,0.52,36
31.0,1,0.51,31
32.0,1,0.38,29
36.0,1,0.62,27
38.0,1,0.62,28
40.0,1,0.35,29
37.0,1,0.33,38
39.0,1,0.80,33
41.0,1,0.38,28
44.0,1,0.55,31
45.0,1,0.60,29
42.0,1,0.68,33
51.0,1,0.36,29
49.0,1,0.62,27
50.0,1,0.42,49
52.0,1,0.50,53
53.0,1,0.28,32
55.0,1,0.48,34
56.0,1,0.43,43
57.0,1,0.30,36
58.0,1,0.57,40
59.0,1,0.25,25
60.0,1,0.49,37
64.0,1,0.50,27
62.0,1,0.53,27
63.0,1,0.48,28
61.0,1,0.18,34
65.0,1,0.31,68
66.0,1,0.31,44
67.0,1,0.50,46
70.0,1,0.38,10
69.0,1,0.53,26
73.0,1,0.43,43
71.0,1,0.33,36
72.0,1,0.36,36
75.0,1,0.73,42
74.0,1,0.61,48
80.0,1,0.46,35
83.0,1,0.47,34
81.0,1,0.38,24
84.0,1,0.54,29
85.0,1,0.35,48
86.0,1,0.51,55
87.0,1,0.65,31
88.0,1,0.74,27
89.0,1,0.50,25
90.0,1,0.25,28
92.0,1,0.42,35
93.0,1,0.41,27
91.0,1,0.50,34
94.0,1,0.35,80
95.0,1,0.32,32
96.0,1,0.36,26
98.0,1,0.22,34
100.0,1,0.57,32
99.0,1,0.49,32
101.0,1,0.65,27
104.0,1,0.76,31
102.0,1,0.37,57
103.0,1,0.47,38
105.0,1,0.79,47
106.0,1,0.54,27
107.0,1,0.48,29
108.0,1,0.71,39
109.0,1,0.54,30
110.0,1,0.50,26
111.0,1,0.52,44
112.0,1,0.44,49
113.0,1,0.44,43
114.0,1,0.57,26
115.0,1,0.33,91
116.0,1,0.56,33
118.0,1,0.42,31
120.0,1,0.19,43
121.0,1,0.54,35
122.0,1,0.43,36
123.0,1,0.55,39
124.0,1,0.66,28
125.0,1,0.55,39
127.0,1,0.53,26
126.0,1,0.77,49
129.0,1,0.49,27
117.0,1,0.51,91
130.0,1,0.55,39
131.0,1,0.63,45
132.0,1,0.39,57
133.0,1,0.18,36
136.0,1,0.47,34
135.0,1,0.36,26
137.0,1,0.21,31
140.0,1,0.70,39
141.0,1,0.38,43
144.0,1,0.46,29
145.0,1,0.48,33
146.0,1,0.60,28
147.0,1,0.36,35
149.0,1,0.61,44
148.0,1,0.60,32
151.0,1,0.64,38
150.0,1,0.45,28
153.0,1,0.41,44
152.0,1,0.30,39
156.0,1,0.66,31
158.0,1,0.47,29
161.0,1,0.54,35
162.0,1,0.38,25
167.0,1,0.54,40
168.0,1,0.40,29
170.0,1,0.46,29
172.0,1,0.57,32
175.0,1,0.45,27
177.0,1,0.60,26
176.0,1,0.58,33
178.0,1,0.64,35
179.0,1,0.57,32
181.0,1,0.41,49
182.0,1,0.59,30
183.0,1,0.42,31
186.0,1,0.78,31
188.0,1,0.50,46
189.0,1,0.45,33
190.0,1,0.67,35
191.0,1,0.76,31
192.0,1,0.50,30
