Unnamed: 0,utterance_id,turn_id,chat_id,datetime,user_utterance,valence,label,sublabel,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,valence_new,label_new,sublabel_new,Contained technical issue,user_rating_english,user_rating_explanation_english,user_sentiment,bot_sentiment
3,4,4,1.0,2023-08-07 15:44:04.602837,,Follow/Neutral,,,,2023-08-07 15:44:09.308969,"Auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr), wie interessiert bist du jetzt gerade daran, diese Veränderung durchzuführen?",,,Follow/Neutral,,,1.0,,,2.0,1.0
10,11,4,2.0,2023-08-07 15:47:28.68228,"Ich sehe die Wichtigkeit, kann ioch aber nicht aufraffen",sustain,Reason,ability,,2023-08-07 15:47:44.852931,"Ich verstehe, es scheint, als ob du dich in einem Teufelskreis befindest. Du siehst die Notwendigkeit und den Nutzen darin, weniger zu prokrastinieren, aber es fällt dir schwer, dich dazu aufzuraffen und anzufangen. 

Kannst du mir ein Beispiel geben, was du konkret aufschiebst und was dich daran hindert, es zu erledigen",gut/hilfreich,"Eigentlich war sie nur eine Wiederholung meiner Aussage, aber eben auch nicht schlecht oder verletzend",sustain,Reason,ability,0.0,good/helpful,"Actually, it was just a repetition of my statement, but not bad or hurtful either",2.0,1.3333333333333333
17,18,4,3.0,2023-08-07 15:50:14.206622,8,Follow/Neutral,,,,,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,0.0,,,2.0,2.0
25,26,4,4.0,2023-08-07 15:51:41.389698,6,Follow/Neutral,,,,2023-08-07 15:51:42.990616,Eine 6. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,0.0,,,2.0,2.0
32,33,4,5.0,2023-08-07 15:53:30.571196,9,Follow/Neutral,,,,2023-08-07 15:53:32.219772,Eine 9. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,0.0,,,2.0,2.0
53,54,4,6.0,2023-08-07 15:58:45.978245,8,Follow/Neutral,,,,2023-08-07 15:58:47.717638,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,0.0,,,2.0,2.0
63,64,4,7.0,2023-08-07 15:59:45.391302,7,Follow/Neutral,,,,2023-08-07 15:59:47.084067,Eine 7. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,0.0,,,2.0,2.0
64,65,4,8.0,2023-08-07 15:59:47.306707,5,Follow/Neutral,,,,2023-08-07 15:59:48.933158,Eine 5. Das klingt als stündest du dieser Veränderung nicht allzu zuversichtlich gegenüber. Erzähl mir bitte mehr über deine Einstellung. Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,0.0,,,2.0,1.6666666666666667
104,105,4,10.0,2023-08-07 16:20:31.095849,8,Follow/Neutral,,,,2023-08-07 16:20:32.821802,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,0.0,,,2.0,2.0
105,106,4,11.0,2023-08-07 16:20:42.323091,6,Follow/Neutral,,,,2023-08-07 16:20:44.091736,Eine 6. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,0.0,,,2.0,2.0
