Unnamed: 0,utterance_id,turn_id,chat_id,datetime,user_utterance,valence,label,sublabel,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,valence_new,label_new,sublabel_new,Contained technical issue,user_rating_english,user_rating_explanation_english,user_sentiment,bot_sentiment
8,9,7,1.0,2023-08-07 15:46:12.641909,Alltag. Faulheit.,sustain,Reason,General Reason,Undershooting,2023-08-07 15:46:20.580675,"Es scheint, als ob der Alltag und die Faulheit Hindernisse für dich darstellen. Wie könnte es sein, wenn du diese Hindernisse überwindest",gut/hilfreich,Bringt mich dazu mir Gedanken zu machen.,sustain,Reason,General Reason,1.0,good/helpful,Makes me think about it.,2.0,2.0
29,30,7,2.0,2023-08-07 15:53:03.732572,"Ich glaube nicht, dass diese Vorgehensweise zielführend ist. Das muss ich schon am Stück erledigen. ",sustain,Reason,need,,2023-08-07 15:53:17.656097,"Das ist absolut verständlich – manchmal ist es effektiver, eine Aufgabe in einem Rutsch zu erledigen, anstatt sie aufzuteilen. In diesem Fall könnte es hilfreich sein, einen bestimmten Zeitpunkt festzulegen, an dem du dich dieser Aufgabe widmest. 

Einen festen Termin in deinem Kalender zu haben, kann dazu beitragen, dass diese Aufgabe Priorität erhält. Es könnte auch hil",schlecht/unpassend,Wieder nicht vollständig,sustain,Reason,need,0.0,bad/inappropriate,Not complete again,2.0,2.25
36,37,7,4.0,2023-08-07 15:54:36.63244,Das ich langfristig wieder in alte Verhaltensmuster zurückfalle,change,Reason,ability,Digging Deep,2023-08-07 15:54:44.294633,"Die Sorge, in alte Verhaltensmuster zurückzufallen, scheint eine große Hürde für dich zu sein. Was sind die spezifischen Verhaltensmuster, die du meinst",gut/hilfreich,,change,Reason,ability,0.0,good/helpful,,2.0,1.5
40,41,7,3.0,2023-08-07 15:56:08.5954,"Ich würde mehr Sport machen. Eigentlich will ich schon seit langem an einem Halbmarathon teilnehmen, aber dafür müsste ich viel Zeit fürs Training investieren. Und diese Zeit fehlt mir momentan.",change,Reason,desire,,2023-08-07 15:56:20.693954,"Das ist ein großartiges Ziel! Es scheint, als hättest du bereits eine ziemlich klare Vorstellung davon, wie du deine zusätzliche Zeit nutzen möchtest. Stell dir vor, wie es sich anfühlen würde, an diesem Halbmarathon teilzunehmen und ihn zu beenden. Wie könnte sich das auf dein Leben auswirken",gut/hilfreich,"Der Chatbot geht auf meine Ideen ein, greift sie auf und entwickelt daraus einen Gedankenanstoß.",change,Reason,desire,0.0,good/helpful,"The chatbot responds to my ideas, picks them up and develops a thought-provoking impulse from them.",1.5,1.75
49,50,7,5.0,2023-08-07 15:58:21.793774,Indem ich mir ein Ernährungsplan zusammenstelle und den auch befolge.,change,Taking Steps,,,2023-08-07 15:58:28.955652,"Das klingt nach einem hervorragenden Plan! Wie wirst du sicherstellen, dass du deinen Ernährungsplan befolgst",gut/hilfreich,Passend zu meinem Text.,change,Taking Steps,,0.0,good/helpful,Fitting to my text.,2.0,2.5
70,71,7,6.0,2023-08-07 16:02:37.127033,"Ich hätte mehr Zeit für andere Tätigkeiten, aber auch für Gedanken und Entspannung. Letzteres wäre zugleich angenehm und erschreckend.",Follow/Neutral,,,Affirmation,2023-08-07 16:02:51.514221,"Es ist beeindruckend, wie du deine eigene Situation reflektierst und die Konsequenzen deines Handelns erkennst. Du zeigst eine tiefe Einsicht in deine Verhaltensmuster und den Wunsch, diese zu verändern. Deine Fähigkeit zur Selbstreflexion ist eine starke Ressource für die Veränderung, die du anstrebst.",gut/hilfreich,,Follow/Neutral,,,0.0,good/helpful,,2.0,3.0
73,74,7,7.0,2023-08-07 16:03:50.709959,"Eigentlich immer, ich brauche Süsses. Vorallem am Abend ist das schon eine Routine geworden.",sustain,Reason,General Reason,Looking Back,2023-08-07 16:03:58.407719,"Du hast gesagt, dass es zu deiner Routine geworden ist, abends Süßigkeiten zu essen. Kannst du dich an eine Zeit erinnern, in der diese Routine noch nicht bestand",gut/hilfreich,geht weiter ins Detail,sustain,Reason,General Reason,0.0,good/helpful,goes into further detail,1.5,1.0
83,84,7,8.0,2023-08-07 16:07:32.71115,"Mit kleinen, leicht umsetzbaren Zielen anzufangen ist eine gute Idee. Erstmal nur eine Mahlzeit zu ersetzen klingt schaffbar.",change,Reason,ability,,2023-08-07 16:07:39.163775,"Das ist ein großartiger erster Schritt! Wie wirst du dich daran erinnern, diese Veränderung jeden Tag umzusetzen",gut/hilfreich,Liefert direkt einen Anstoß zur Umsetzung,change,Reason,ability,0.0,good/helpful,Provides a direct impetus for implementation,2.0,2.5
115,116,7,11.0,2023-08-07 16:24:26.500997,Ich weiß es nicht wirklich,Follow/Neutral,,,,2023-08-07 16:24:39.160502,"Das ist okay. Es kann eine Weile dauern, bis man eine Strategie findet, die funktioniert. Lass uns über einige Möglichkeiten nachdenken:
- Du könntest versuchen, dir spezifische Ziele zu setzen. Anstatt zu sagen ""Ich muss dieses Projekt abschließen"", könntest du dir kleinere, erreichbare Ziele setzen, wie zum Beispiel ""Ich werde heute eine Stunde an diesem Projekt arbeiten"".
- Du kön",gut/hilfreich,"Antwort gut, aber bisher unvollständig angezeigt",Follow/Neutral,,,0.0,good/helpful,"Answer good, but so far incompletely displayed",2.0,2.8
118,119,7,10.0,2023-08-07 16:25:11.766011,"Ich komme mir gut vor - es fühlt sich wie ein Katalog von ""Quests"" an, die abgearbeitet werden.",Follow/Neutral,,,Looking Back,2023-08-07 16:25:18.467407,"Das klingt sehr befriedigend. Erinnerst du dich an eine Zeit, in der du regelmäßiger und konsequenter in deinem Handeln warst",gut/hilfreich,"Hilfreich, da alte Verhaltensweisen ggf. wieder aufgefrischt werden könnten.",Follow/Neutral,,,0.0,good/helpful,"Helpful, as old behaviors could be refreshed if necessary.",3.0,3.0
