Unnamed: 0,utterance_id,turn_id,chat_id,datetime,user_utterance,valence,label,sublabel,bot_action,bot_datetime,bot_utterance,user_rating,user_rating_explanation,valence_new,label_new,sublabel_new,Contained technical issue,user_rating_english,user_rating_explanation_english,user_sentiment,bot_sentiment
4,5,5,1.0,2023-08-07 15:44:20.584669,8,Follow/Neutral,,,,2023-08-07 15:44:22.691588,Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?,,,Follow/Neutral,,,1.0,,,2.0,2.0
15,16,5,2.0,2023-08-07 15:49:57.701338,"Ich müsste mir eine neue Geldanlage ansehen oder zumindest eine bestehende aufstocken, mag mich aber nicht in die Optionen einlesen. ",sustain,Reason,desire,,2023-08-07 15:50:16.921313,"Es ist verständlich, dass du dich überfordert fühlst, dich in die verschiedenen Optionen einzulesen, besonders wenn es um so wichtige Themen wie deine Finanzen geht. 

Aber denk daran, dass sich diese Anstrengung letztendlich auszahlen wird, indem du eine gut informierte Entscheidung triffst, die im besten Fall dein finanzielles Wohlergehen verbessert. 

Um den Prozess",gut/hilfreich,Ist halt so. ,sustain,Reason,desire,0.0,good/helpful,That's just the way it is.,1.0,3.0
21,22,5,3.0,2023-08-07 15:51:20.698319,"Ich will mich wirklich verändern, weiß aber nicht genau wie. Daher die 8",change,Reason,desire,,2023-08-07 15:51:26.981374,"Das ist eine gute Ausgangsbasis, da du schon sehr zuversichtlich bist. Was könnte diese zwei Punkte ausmachen, die dir noch fehlen, um eine 10 zu erreichen",gut/hilfreich,"Die Antwort ist hilfreich, weil sie mir einen Denkanstoß gibt.",change,Reason,desire,0.0,good/helpful,The answer is helpful because it gives me food for thought.,1.0,2.5
28,29,5,4.0,2023-08-07 15:52:19.837726,"Ich möchte die Veränderung zwar durchführen, kann mich der Sache aber noch nicht zu 100% verschreiben.",change,Reason,desire,Continuing the Paragraph,2023-08-07 15:52:27.814923,"Du bist also bereit, eine Veränderung herbeizuführen, aber es gibt offensichtlich noch einige Unsicherheiten, die dich davon abhalten, dich vollständig zu engagieren. Was sind einige dieser Unsicherheiten oder Ängste, die dich daran hindern, dich zu 100% zu engagieren",gut/hilfreich,Hilft zu reflektieren,change,Reason,desire,0.0,good/helpful,Helps to reflect,1.0,1.5
37,38,5,5.0,2023-08-07 15:54:42.89818,"Bei einem höheren Wert hätte ich mehr getan als jetzt. Bei einem niedrigeren Wert sehe ich nicht, weil ich schon öfter darüber nachdenke und versuche erstmal weniger zu essen.",change,Reason,General Reason,,2023-08-07 15:54:56.306619,"Das ist eine gute Selbsteinschätzung. Du hast bereits erkannt, dass du mehr tun könntest, aber du hast auch schon einige Schritte unternommen, um dein Essverhalten zu ändern. 

Was denkst du könntest du tun, um deine Motivation von 9 auf eine 10 zu bringen",gut/hilfreich,"Ich werde für meine Selbsteinschätzung gelobt und gefragt, was ich glaube ich mehr tun könnte.",change,Reason,General Reason,0.0,good/helpful,I am praised for my self-assessment and asked what I think I could do more of.,3.0,2.0
60,61,5,6.0,2023-08-07 15:59:35.930099,"Es ist mir wichtig, aber ich kann mich trotzdem nicht aufraffen.",sustain,Reason,need,Digging Deep,2023-08-07 15:59:43.450156,"Du erkennst die Wichtigkeit der Veränderung, aber es fällt dir schwer, den ersten Schritt zu machen. Kannst du mir mehr über die Situationen erzählen, in denen du dich nicht aufraffen kannst",gut/hilfreich,,sustain,Reason,need,0.0,good/helpful,,2.0,2.0
65,66,5,8.0,2023-08-07 16:00:46.095656,"Ich weiß nicht, ob ich es schaffe, meine Ernährung dauerhaft umzustellen. Daher bin ich nicht besonders zuversichtlich.",change,Reason,ability,,2023-08-07 16:00:59.059825,"Das ist absolut verständlich. Eine Veränderung der Ernährung ist eine große Herausforderung, die viel Engagement und Disziplin erfordert. 

Was denkst du, könnte dir helfen, um diesen Wert von 5 zu erhöhen und dir mehr Zuversicht zu geben",schlecht/unpassend,"Die Antwort macht den Eindruch, als ob sie nicht auf den eingegebenen Text eingeht. Sie klingt eher nach einer vorgegebenen Standardantwort.",change,Reason,ability,0.0,bad/inappropriate,The answer gives the impression that it does not respond to the text entered. It sounds more like a predefined standard answer.,1.0,3.333333333333333
67,68,5,7.0,2023-08-07 16:00:55.724444,"Weil ich merke, dass ich etwas Gewicht verlieren muss, also ziemlich wichtig, keine 10, weil ich nicht weiß. ob ich auf Süsskram verzichten kann.",sustain,Reason,need,Reframe,2023-08-07 16:01:09.101463,"Es ist also eine Herausforderung für dich, komplett auf Süßigkeiten zu verzichten, obwohl du weißt, dass es dir helfen würde, Gewicht zu verlieren und dich gesünder zu ernähren. Es scheint, als ob du nach einer Balance suchst zwischen dem Genuss von Süßem und deinem Ziel, gesünder zu essen.",gut/hilfreich,Sie fasst es echt gut zusammen.,sustain,Reason,need,0.0,good/helpful,She sums it up really well.,1.0,2.5
108,109,5,10.0,2023-08-07 16:21:32.838989,"Ich bin schon auf einem guten Weg und sehe meine Motivation durch meine eigene Tätigkeit nicht mehr bei 10 an. Da ich zu Beginn des Wandels eher eine 10 aufgewiesen hätte. Da ich immer noch überzeugt bin, habe ich eine 8 gewählt.",change,Reason,General Reason,Elaboration,2023-08-07 16:21:40.789454,"Interessant. Also siehst du bereits Fortschritte in deinem Bestreben, weniger zu prokrastinieren. Kannst du mir ein konkretes Beispiel nennen, bei dem du dieses Verhalten erfolgreich umgesetzt hast",gut/hilfreich,"Ich denke, dass dies die Motivation fördern und das Befassen mit dem eigenem Handeln durch Reflektieren fördern kann. Darauf können weitere Anknüpfungspunkte folgen.",change,Reason,General Reason,0.0,good/helpful,I think that this can promote motivation and encourage people to reflect on their own actions. This can be followed by further points of contact.,2.0,2.333333333333333
109,110,5,11.0,2023-08-07 16:21:36.299675,"Ich sehe keinen konkreten Weg, mich zu weniger Prokrastination zu bewegen, weiß aber, dass eine Änderung meines Verhaltens früher oder später sinnvoll wäre",sustain,Reason,General Reason,,2023-08-07 16:21:45.72802,"Es ist völlig normal, dass du dir noch unsicher bist, wie du weniger prokrastinieren kannst. Es ist ein erster wichtiger Schritt, dass du erkannt hast, dass eine Änderung sinnvoll wäre. 

Gibt es bestimmte Situationen oder Aufgaben, bei denen du besonders dazu neigst, zu prokrastinieren",gut/hilfreich,Klingt nach einer sinnvollen Frage an dieser stelle ,sustain,Reason,General Reason,0.0,good/helpful,Sounds like a sensible question at this point,1.0,2.333333333333333
